Name, Total Sales , Adult-Use Sales , Medical Sales ,Address,City,State,Zip,Month,Year,
"CHADCOR HOLDINGS NM, LLC","$1,282,170.50","$1,234,842.56","$47,327.94",1615 Appaloosa Dr,Sunland Park,NM,88063,January,2025,
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$1,073,288.53","$1,068,040.26","$5,248.27",159 Sunland Park Dr,Sunland Park,NM,88063,January,2025,
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$716,126.10","$677,203.65","$38,922.45",1500 Appaloosa St Suite B,Sunland Park,NM,88063,January,2025,
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$478,791.89","$458,407.71","$20,384.17",1051 McNutt Rd,Sunland Park,NM,88063,January,2025,
"GREEN THERAPY DISPENSARY, LLC","$333,453.60","$312,325.55","$21,128.05","460 County Line Drive, Space F",Chaparral,NM,88081,January,2025,
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$208,438.24","$194,891.13","$13,547.11",308 McCombs Rd Spc 2,Chaparral,NM,88081,January,2025,
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$191,003.93","$188,511.94","$2,491.99",100 Arch Angel Way,Chaparral,NM,88081,January,2025,
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$184,318.51","$177,696.01","$6,622.50",1925 Appaloosa Dr,Sunland Park,NM,88063,January,2025,
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$154,446.92","$146,646.92","$7,800.00","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,January,2025,
"NEBRO, LLC","$134,707.41","$128,241.49","$6,465.92",1999 Futurity Drive Unit A,Sunland Park,NM,88063,January,2025,
PROHIBITION 37 - MCNUTT RD RETAIL,"$127,265.83","$113,906.38","$13,359.46",871 McNutt Rd,Sunland Park,NM,88063,January,2025,
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$118,386.02","$115,481.02","$2,905.00",1541 Appaloosa Unit 7,Sunland Park,NM,88063,January,2025,
ANIMACANN INC - APPALOOSA DR RETAIL,"$101,226.07","$98,868.08","$2,357.99",1500 Appaloosa Dr Bldg A Ste 140,Sunland Park,NM,88063,January,2025,
EVEREST APOTHECARY,"$94,680.70","$91,586.25","$3,094.45",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,January,2025,
"RMC NM, INC - ANTHONY RETAIL","$91,870.51","$81,779.11","$10,091.40",138 Anthony Dr,Anthony,NM,88021,January,2025,
BESOS LLC/ RETAIL FUTURITY DR,"$76,313.57","$74,077.71","$2,235.86",1805 Futurity Dr,Sunland Park,NM,88603,January,2025,
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$71,418.89","$66,057.71","$5,361.18",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,January,2025,
MEDD LLC - PALOMA BLANCA RETAIL,"$66,705.80","$62,882.92","$3,822.88",170 McCombs,Chaparral,NM,88081,January,2025,
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$56,839.86","$47,003.25","$9,836.61",1155 McNutt Road,Sunland Park,NM,88063,January,2025,
SCORE 420 - MCNUTT RETAIL,"$54,800.35","$50,215.49","$4,584.86",2355 McNutt Road,Sunland Park,NM,88063,January,2025,
TOP OF THE 8TH LLC - RETAIL,"$54,692.68","$45,339.43","$9,353.25",1275 Anthony Dr Ste C7,Anthony,NM,88021,January,2025,
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,"$54,304.53","$50,434.31","$3,870.22",5620 McNutt Rd,Santa Teresa,NM,88008,January,2025,
HHNM CHAPARRAL 1 COMPANY- S. COUNTY LINE RETAIL,"$50,139.22","$43,901.37","$6,237.85",545 S. County Line,Chaparral,NM,88081,January,2025,
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$47,039.93","$44,865.03","$2,174.90",1042 State Line,Chapparal,NM,88081,January,2025,
TEN 10 PROJECT LLC- APPOLOOSA DR RETAIL,"$42,171.44","$41,984.78",$186.66,1925 Appoloosa Dr,Sunland Park,NM,88063,January,2025,
FLORA VERDE LLC - MAGUEY CT RETAIL,"$40,545.98","$38,457.81","$2,088.17",100 Maguey Ct,Sunland Park,NM,88063,January,2025,
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL,"$38,702.00","$36,464.00","$2,238.00",1290 McNutt Rd,Sunland Park,NM,88063,January,2025,
FRESHIES LLC/ RETAIL MCNUTT RD,"$36,666.62","$31,873.98","$4,792.64",5325 McNutt Rd,Santa Teresa,NM,88008,January,2025,
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$34,972.26","$33,136.58","$1,835.68",1245 Riley Way,Chaparral,NM,88081,January,2025,
OBI WAN CANNABIS LLC,"$34,634.14","$33,432.04","$1,202.10",2167 McNutt Rd suite A,Sunland Park,NM,88063,January,2025,
GARDEN OF DREAMS CANNABIS LLC,"$28,933.56","$27,033.93","$1,899.63",5300 Mcnutt Rd,Santa Teresa,NM,88008,January,2025,
NUVES LLC - RANCH ROAD RETAIL,"$27,323.53","$26,819.34",$504.19,101 Maguey Suite 4,Sunland Park,NM,88063,January,2025,
RH AND MC LLC - MILLER ST RETAIL,"$27,158.31","$22,534.72","$4,623.59",103 Miller St,Anthony,NM,88021,January,2025,
THE GREEN MATRIX - S HIGHWAY 28 RETAIL,"$24,967.55","$21,795.05","$3,172.50",3100 S Highway 28,Anthony,NM,88021,January,2025,
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$24,523.39","$22,602.53","$1,920.86",1600 E OHara Rd,Anthony,NM,88021,January,2025,
J AND J LOAN COMPANY- MCNUTT RETAIL,"$23,531.46","$23,531.46",,1144 McNutt,Sunland Park,NM,88063,January,2025,
ST CANAPA LLC - MCNUTT RD RETAIL,"$23,218.02","$22,966.72",$251.30,5305 McNutt Rd,Santa Teresa,NM,88008,January,2025,
SEVEN NINE GROW LLC - EL PASEO DR RETAIL,"$21,459.89","$18,986.83","$2,473.06",305 S County Line Rd,Chaparral,NM,88081,January,2025,
NEWBERRY FARMS LLC - MCNUTT RD. RETAIL,"$17,686.09","$17,419.61",$266.48,1845 McNutt Rd,Sunland Park,NM,88063,January,2025,
CARDIEL BOTANICA LTD CO - MCNUTT RD RETAIL,"$17,490.83","$15,851.56","$1,639.27",1685 McNutt,Sunland Park,NM,88063,January,2025,
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$13,646.84","$13,532.33",$114.51,101 Angelina Blvd,Chaparral,NM,88081,January,2025,
ERB HOLDINGS/ RETAIL OHARA ROAD,"$12,517.94","$11,309.96","$1,207.98",1400 E Ohara Road,Anthony,NM,88021,January,2025,
HHNM SUNLAND PARK 1 COMPANY- MCNUTT RD. STE. D RETAIL,"$12,318.22","$11,222.17","$1,096.05",1290 McNutt Rd. Ste. D,Sunland Park,NM,88063,January,2025,
GREENGO NM - ANTHONY DR RETAIL,"$9,300.83","$7,703.81","$1,597.02",816 Anthony Dr,Anthony,NM,88021,January,2025,
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$8,696.50","$7,452.30","$1,244.20",140 Schneberger Dr,Chaparral,NM,88081,January,2025,
YERBAVIVA LLC/ RETAIL MCNUTT STE D,"$6,570.82","$6,302.54",$268.28,2327 McNutt Ste D,Sunland Park,NM,88063,January,2025,
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$4,337.33","$4,274.93",$62.40,245 Derby Rd,Sunland Park,NM,88063,January,2025,
